Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ee.fhir.hdecl.json	5998	-	0	0	0	0	0	0	2	67	0	0	0	0	0	0	0	0	0	0	63	60	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-ee-health-declaration-cancel.json	600	31	0	0	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-ee-health-declaration-complete.json	598	4	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	16	12	0	0	0	0	0	1
fsh-generated/resources/OperationDefinition-ee-health-declaration-get-consent.json	973	8	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	19	12	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-ee-health-declaration-set-consent.json	1119	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	19	11	0	0	0	1	0	0
fsh-generated/resources/Patient-katipiiriylene.json	449	8	0	0	0	0	0	0	0	581	0	0	0	0	0	0	0	0	0	0	14	10	0	0	1	0	0	0
fsh-generated/resources/QuestionnaireResponse-ee-health-declaration-example.json	92706	50	0	0	0	0	0	0	12	121	0	0	0	0	0	0	0	1	0	0	726	114	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-ee-health-declaration-minimal-example.json	1631	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ee-health-declaration-category-effective-date.json	734	9	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ee-health-declaration-category.json	650	6	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ee-health-declaration-category.json	3414	9	0	20	0	0	0	0	0	269	0	0	0	0	0	0	0	1	0	0	92	583	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-ee-health-declaration-minimal.json	900	7	0	101	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	115	470	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-ee-health-declaration.json	4299	9	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	154	434	0	0	0	5	0	4
